split,index,bdmap_id
train,0,BDMAP_00006697
train,1,BDMAP_00004878
train,2,BDMAP_00003648
train,3,BDMAP_00008515
train,4,BDMAP_00005158
train,5,BDMAP_00005146
train,6,BDMAP_00002524
train,7,BDMAP_00006305
train,8,BDMAP_00004232
train,9,BDMAP_00003382
train,10,BDMAP_00001225
train,11,BDMAP_00007190
train,12,BDMAP_00007933
train,13,BDMAP_00002345
train,14,BDMAP_00000638
train,15,BDMAP_00000971
train,16,BDMAP_00005737
train,17,BDMAP_00005654
train,18,BDMAP_00002457
train,19,BDMAP_00007132
train,20,BDMAP_00001666
train,21,BDMAP_00002749
train,22,BDMAP_00005859
train,23,BDMAP_00007286
train,24,BDMAP_00000089
train,25,BDMAP_00001057
train,26,BDMAP_00001569
train,27,BDMAP_00007264
train,28,BDMAP_00008934
train,29,BDMAP_00003315
train,30,BDMAP_00001457
train,31,BDMAP_00008230
train,32,BDMAP_00001958
train,33,BDMAP_00000048
train,34,BDMAP_00003096
train,35,BDMAP_00001544
train,36,BDMAP_00008868
train,37,BDMAP_00007987
train,38,BDMAP_00002875
train,39,BDMAP_00008385
train,40,BDMAP_00003313
train,41,BDMAP_00008636
train,42,BDMAP_00008943
train,43,BDMAP_00000246
train,44,BDMAP_00004029
train,45,BDMAP_00002499
train,46,BDMAP_00002311
train,47,BDMAP_00005197
train,48,BDMAP_00000120
train,49,BDMAP_00007672
train,50,BDMAP_00009208
train,51,BDMAP_00004813
train,52,BDMAP_00003249
train,53,BDMAP_00001453
train,54,BDMAP_00003468
train,55,BDMAP_00003932
train,56,BDMAP_00007376
train,57,BDMAP_00001929
train,58,BDMAP_00006467
train,59,BDMAP_00006319
train,60,BDMAP_00000857
train,61,BDMAP_00006659
train,62,BDMAP_00004520
train,63,BDMAP_00003167
train,64,BDMAP_00002153
train,65,BDMAP_00007442
train,66,BDMAP_00000568
train,67,BDMAP_00006604
train,68,BDMAP_00002907
train,69,BDMAP_00002421
train,70,BDMAP_00003957
train,71,BDMAP_00007406
train,72,BDMAP_00007192
train,73,BDMAP_00003480
train,74,BDMAP_00004043
train,75,BDMAP_00004962
train,76,BDMAP_00002009
train,77,BDMAP_00002466
train,78,BDMAP_00008981
train,79,BDMAP_00005279
train,80,BDMAP_00009150
train,81,BDMAP_00008160
train,82,BDMAP_00008266
train,83,BDMAP_00008500
train,84,BDMAP_00000004
train,85,BDMAP_00006628
train,86,BDMAP_00001818
train,87,BDMAP_00008862
train,88,BDMAP_00008526
train,89,BDMAP_00008652
train,90,BDMAP_00007960
train,91,BDMAP_00006702
train,92,BDMAP_00002030
train,93,BDMAP_00005747
train,94,BDMAP_00005538
train,95,BDMAP_00006051
train,96,BDMAP_00009178
